staff_ward_assignment_id,staff_id,ward_id,assignment_type,is_active
SWA-HSP-001-D01-01,HSP-001-D01,HSP-001-W01,PRIMARY,true
SWA-HSP-001-D02-01,HSP-001-D02,HSP-001-W01,PRIMARY,true
SWA-HSP-001-D02-02,HSP-001-D02,HSP-001-W02,SECONDARY,true
SWA-HSP-001-D03-01,HSP-001-D03,HSP-001-W01,PRIMARY,true
SWA-HSP-001-D03-02,HSP-001-D03,HSP-001-W03,SECONDARY,true
SWA-HSP-001-D04-01,HSP-001-D04,HSP-001-W01,PRIMARY,true
SWA-HSP-001-D04-02,HSP-001-D04,HSP-001-W04,SECONDARY,true
SWA-HSP-001-D05-01,HSP-001-D05,HSP-001-W01,PRIMARY,true
SWA-HSP-001-D05-02,HSP-001-D05,HSP-001-W05,SECONDARY,true
SWA-HSP-001-N01-01,HSP-001-N01,HSP-001-W01,PRIMARY,true
SWA-HSP-001-N02-01,HSP-001-N02,HSP-001-W01,PRIMARY,true
SWA-HSP-001-N02-02,HSP-001-N02,HSP-001-W02,SECONDARY,true
SWA-HSP-001-N03-01,HSP-001-N03,HSP-001-W01,PRIMARY,true
SWA-HSP-001-N03-02,HSP-001-N03,HSP-001-W03,SECONDARY,true
SWA-HSP-001-R01-01,HSP-001-R01,HSP-001-W01,PRIMARY,true
SWA-HSP-001-R02-01,HSP-001-R02,HSP-001-W01,PRIMARY,true
SWA-HSP-002-D01-01,HSP-002-D01,HSP-002-W01,PRIMARY,true
SWA-HSP-002-D02-01,HSP-002-D02,HSP-002-W01,PRIMARY,true
SWA-HSP-002-D02-02,HSP-002-D02,HSP-002-W02,SECONDARY,true
SWA-HSP-002-D03-01,HSP-002-D03,HSP-002-W01,PRIMARY,true
SWA-HSP-002-D03-02,HSP-002-D03,HSP-002-W03,SECONDARY,true
SWA-HSP-002-D04-01,HSP-002-D04,HSP-002-W01,PRIMARY,true
SWA-HSP-002-D04-02,HSP-002-D04,HSP-002-W04,SECONDARY,true
SWA-HSP-002-D05-01,HSP-002-D05,HSP-002-W01,PRIMARY,true
SWA-HSP-002-D05-02,HSP-002-D05,HSP-002-W05,SECONDARY,true
SWA-HSP-002-N01-01,HSP-002-N01,HSP-002-W01,PRIMARY,true
SWA-HSP-002-N02-01,HSP-002-N02,HSP-002-W01,PRIMARY,true
SWA-HSP-002-N02-02,HSP-002-N02,HSP-002-W02,SECONDARY,true
SWA-HSP-002-N03-01,HSP-002-N03,HSP-002-W01,PRIMARY,true
SWA-HSP-002-N03-02,HSP-002-N03,HSP-002-W03,SECONDARY,true
SWA-HSP-002-R01-01,HSP-002-R01,HSP-002-W01,PRIMARY,true
SWA-HSP-002-R02-01,HSP-002-R02,HSP-002-W01,PRIMARY,true
SWA-HSP-003-D01-01,HSP-003-D01,HSP-003-W01,PRIMARY,true
SWA-HSP-003-D02-01,HSP-003-D02,HSP-003-W01,PRIMARY,true
SWA-HSP-003-D02-02,HSP-003-D02,HSP-003-W02,SECONDARY,true
SWA-HSP-003-D03-01,HSP-003-D03,HSP-003-W01,PRIMARY,true
SWA-HSP-003-D03-02,HSP-003-D03,HSP-003-W03,SECONDARY,true
SWA-HSP-003-D04-01,HSP-003-D04,HSP-003-W01,PRIMARY,true
SWA-HSP-003-D04-02,HSP-003-D04,HSP-003-W04,SECONDARY,true
SWA-HSP-003-D05-01,HSP-003-D05,HSP-003-W01,PRIMARY,true
SWA-HSP-003-D05-02,HSP-003-D05,HSP-003-W05,SECONDARY,true
SWA-HSP-003-N01-01,HSP-003-N01,HSP-003-W01,PRIMARY,true
SWA-HSP-003-N02-01,HSP-003-N02,HSP-003-W01,PRIMARY,true
SWA-HSP-003-N02-02,HSP-003-N02,HSP-003-W02,SECONDARY,true
SWA-HSP-003-N03-01,HSP-003-N03,HSP-003-W01,PRIMARY,true
SWA-HSP-003-N03-02,HSP-003-N03,HSP-003-W03,SECONDARY,true
SWA-HSP-003-R01-01,HSP-003-R01,HSP-003-W01,PRIMARY,true
SWA-HSP-003-R02-01,HSP-003-R02,HSP-003-W01,PRIMARY,true
SWA-HSP-004-D01-01,HSP-004-D01,HSP-004-W01,PRIMARY,true
SWA-HSP-004-D02-01,HSP-004-D02,HSP-004-W01,PRIMARY,true
SWA-HSP-004-D02-02,HSP-004-D02,HSP-004-W02,SECONDARY,true
SWA-HSP-004-D03-01,HSP-004-D03,HSP-004-W01,PRIMARY,true
SWA-HSP-004-D03-02,HSP-004-D03,HSP-004-W03,SECONDARY,true
SWA-HSP-004-D04-01,HSP-004-D04,HSP-004-W01,PRIMARY,true
SWA-HSP-004-D04-02,HSP-004-D04,HSP-004-W04,SECONDARY,true
SWA-HSP-004-D05-01,HSP-004-D05,HSP-004-W01,PRIMARY,true
SWA-HSP-004-D05-02,HSP-004-D05,HSP-004-W05,SECONDARY,true
SWA-HSP-004-N01-01,HSP-004-N01,HSP-004-W01,PRIMARY,true
SWA-HSP-004-N02-01,HSP-004-N02,HSP-004-W01,PRIMARY,true
SWA-HSP-004-N02-02,HSP-004-N02,HSP-004-W02,SECONDARY,true
SWA-HSP-004-N03-01,HSP-004-N03,HSP-004-W01,PRIMARY,true
SWA-HSP-004-N03-02,HSP-004-N03,HSP-004-W03,SECONDARY,true
SWA-HSP-004-R01-01,HSP-004-R01,HSP-004-W01,PRIMARY,true
SWA-HSP-004-R02-01,HSP-004-R02,HSP-004-W01,PRIMARY,true
